iter	Passed	Remaining
0	48	9627
1	49	4897
2	51	3354
3	52	2575
4	54	2110
5	55	1800
6	57	1577
7	58	1410
8	60	1280
9	61	1174
10	63	1092
11	65	1019
12	66	956
13	67	902
14	69	856
15	70	815
16	72	780
17	74	748
18	75	720
19	77	695
20	78	671
21	80	650
22	81	630
23	83	612
24	85	595
25	86	579
26	88	565
27	89	551
28	91	538
29	92	526
30	94	515
31	95	503
32	97	493
33	99	483
34	100	473
35	102	465
36	103	456
37	105	448
38	106	440
39	108	433
40	110	426
41	111	420
42	113	413
43	114	406
44	116	400
45	117	394
46	119	388
47	120	382
48	122	376
49	123	370
50	125	365
51	126	360
52	128	355
53	129	350
54	131	345
55	132	340
56	133	336
57	135	331
58	136	327
59	138	323
60	139	318
61	141	314
62	142	310
63	143	305
64	145	301
65	146	297
66	148	294
67	149	290
68	151	287
69	152	284
70	154	280
71	156	277
72	157	274
73	159	271
74	160	267
75	162	265
76	164	262
77	166	259
78	167	256
79	169	253
80	170	250
81	172	247
82	173	245
83	175	242
84	176	239
85	178	236
86	180	234
87	181	231
88	183	228
89	185	226
90	186	223
91	188	220
92	189	218
93	191	215
94	192	212
95	194	210
96	195	207
97	197	205
98	198	202
99	200	200
100	202	198
101	203	195
102	205	193
103	206	190
104	208	188
105	209	185
106	211	183
107	212	181
108	214	178
109	215	176
110	217	174
111	218	171
112	220	169
113	221	167
114	223	164
115	225	162
116	226	160
117	228	158
118	229	156
119	231	154
120	232	152
121	234	150
122	236	147
123	237	145
124	239	143
125	241	141
126	242	139
127	244	137
128	246	135
129	247	133
130	249	131
131	250	129
132	252	127
133	254	125
134	255	123
135	257	121
136	259	119
137	260	117
138	262	114
139	263	112
140	265	110
141	266	108
142	268	106
143	269	104
144	271	102
145	272	100
146	274	98
147	275	96
148	277	94
149	278	92
150	279	90
151	281	88
152	283	86
153	284	85
154	286	83
155	287	81
156	289	79
157	290	77
158	291	75
159	293	73
160	294	71
161	296	69
162	297	67
163	299	65
164	300	63
165	302	61
166	304	60
167	305	58
168	307	56
169	309	54
170	310	52
171	311	50
172	313	48
173	315	47
174	316	45
175	318	43
176	319	41
177	320	39
178	322	37
179	323	35
180	325	34
181	326	32
182	328	30
183	329	28
184	331	26
185	332	25
186	334	23
187	335	21
188	337	19
189	338	17
190	340	16
191	342	14
192	343	12
193	345	10
194	346	8
195	348	7
196	349	5
197	351	3
198	352	1
199	354	0
