iter	Passed	Remaining
0	130	25954
1	154	15260
2	170	11210
3	183	8975
4	195	7622
5	209	6771
6	223	6149
7	237	5697
8	251	5329
9	265	5049
10	279	4808
11	294	4616
12	307	4422
13	320	4264
14	333	4113
15	347	3996
16	361	3892
17	375	3795
18	390	3719
19	403	3631
20	416	3548
21	429	3475
22	440	3392
23	453	3325
24	465	3256
25	477	3194
26	485	3111
27	498	3061
28	510	3010
29	522	2962
30	536	2922
31	548	2879
32	562	2845
33	576	2812
34	590	2785
35	605	2758
36	620	2732
37	634	2705
38	649	2679
39	664	2658
40	678	2632
41	691	2601
42	703	2570
43	716	2541
44	729	2511
45	741	2483
46	754	2456
47	768	2432
48	781	2408
49	794	2384
50	808	2360
51	820	2334
52	834	2314
53	846	2289
54	860	2268
55	872	2244
56	886	2225
57	899	2201
58	912	2180
59	925	2159
60	939	2141
61	955	2126
62	970	2110
63	985	2094
64	1000	2078
65	1015	2061
66	1029	2044
67	1043	2026
68	1058	2009
69	1073	1993
70	1088	1978
71	1103	1961
72	1117	1944
73	1131	1926
74	1146	1910
75	1160	1893
76	1175	1877
77	1189	1861
78	1205	1845
79	1219	1828
80	1233	1812
81	1246	1793
82	1259	1775
83	1272	1756
84	1284	1738
85	1297	1719
86	1309	1701
87	1322	1683
88	1335	1665
89	1348	1647
90	1360	1629
91	1373	1612
92	1385	1593
93	1397	1576
94	1410	1559
95	1424	1543
96	1440	1529
97	1452	1512
98	1467	1497
99	1480	1480
100	1493	1464
101	1506	1447
102	1520	1431
103	1534	1416
104	1548	1400
105	1562	1385
106	1575	1369
107	1588	1353
108	1600	1336
109	1613	1320
110	1627	1304
111	1640	1288
112	1654	1273
113	1667	1258
114	1681	1242
115	1693	1226
116	1707	1211
117	1720	1195
118	1733	1180
119	1745	1163
120	1759	1148
121	1773	1133
122	1786	1118
123	1799	1102
124	1812	1087
125	1825	1072
126	1838	1056
127	1851	1041
128	1865	1026
129	1879	1011
130	1891	996
131	1904	981
132	1919	966
133	1933	952
134	1948	938
135	1962	923
136	1975	908
137	1988	893
138	2001	878
139	2014	863
140	2028	848
141	2042	834
142	2056	819
143	2069	804
144	2083	790
145	2095	775
146	2108	760
147	2120	745
148	2133	730
149	2147	715
150	2159	700
151	2174	686
152	2187	672
153	2201	657
154	2215	643
155	2230	629
156	2246	615
157	2261	601
158	2276	586
159	2291	572
160	2306	558
161	2321	544
162	2335	530
163	2349	515
164	2361	501
165	2375	486
166	2388	471
167	2401	457
168	2414	442
169	2441	430
170	2456	416
171	2470	402
172	2487	388
173	2502	373
174	2516	359
175	2530	345
176	2544	330
177	2557	316
178	2570	301
179	2584	287
180	2598	272
181	2612	258
182	2625	243
183	2639	229
184	2652	215
185	2666	200
186	2681	186
187	2695	172
188	2708	157
189	2721	143
190	2734	128
191	2747	114
192	2760	100
193	2773	85
194	2786	71
195	2799	57
196	2811	42
197	2825	28
198	2837	14
199	2850	0
